Questions,Answers,Sentiment
"Unexpected loss of my dad, my best friend. Feel I should have done more.","As horrible and negative as you are feeling right now, it is such a blessing to be able to reflect on your dad with such positive thoughts because he was such a genuine person.",Grief
"Unexpected loss of my dad, the person who offered me everything. I feel terrible.","I feel for you mate, so strongly.",Grief
I have lost my dad - my favorite person in the world. Will this grief ever pass?,"This grief period will take as long as it takes, no rush, but as time goes by some grief periods will be replaced by life's experiences.",Grief
"Unexpected loss of my dad, a person who was truly passionate about life and always helping people. He will be in my heart forever…","I am so sorry to hear what you are going through. From what you have described, it sounds like your dad was a wonderful man.",Grief
" I lost my dog to sudden illness, the grief is too strong","Isn't that the hardest part when it does just come up out of nowhere and give you something that you didn't expect? It is hard and there is no time line to this and that is also another hard thing to digest, it is just day by day and taking each memory and each thought and sitting with it and then letting it move on. I sometimes think that these little moments help in preparing us for other challenges in life, not necessarily grief and help in our building of resilience",Grief
I lost my dog- my best friend. I feel really saaaad, the feeling of losing a pet can never possibly be easy and I'm very sorry for you.,Grief
"My cat was run over by a car, the grief is too strong…",I can definitely sympathize with what you're going through. You are not alone.,Grief
Loss of husband. Feeling really sad and depressed.,I am so deeply sorry that you lost your beautiful husband..my very deepest condolences...I can relate to how lost and devastated your feeling,Grief
I have lost my spouse. I am feeling super sad.,"I'm so sorry to hear about your loss, I can not even imagine how painful that must be. I just want you to know that I am here to listen.",Grief
Loss of husband. Feeling really sad and depressed.,"I am so sorry to hear about what you are going through, I can't imagine what the past few months have been like for you. There is no time limit - everyone grieves and processes what has happened differently. There is no right or wrong way to grieve. The emptiness you are feeling sounds debilitating, and the anxiety and depression must exacerbate the grief you are experiencing.",Grief
How to cope with Coronavirus outbreak? I'm not coping so well. ,"I'm doing my best to stay active and get fresh air, going for a run a few times a week. I have also found that the UK comedy show Taskmaster is the perfect light and funny entertainment for taking my mind off things. Other than that, getting plenty of sleep, eating well, stocking up on essentials (within reason), and talking with friends and family are great",Curiosity
As an stong extrovert I hate the pandemics. How to cope with it?, Write a list of possible positives arising from the COVID-19 outbreak. You will surprise yourself. Every dark cloud has a silver lining.,Curiosity
How do you people cope with Coronavirus outbreak? I myself not so well..,Don't forget to focus on the Good Things in Your Life No Matter How Small.,Curiosity
meditation and the benefts?,"It can be seen as a spiritual act, yet it's not incompatible with religious belief (religions like Buddhism and Hinduism use meditation as a tool for people to reach a higher level of being). Prayer, in whatever form, is also form of meditation, a way to reflect and seek a connection to your inner and external truth, driving your focus away from the body that feels anxious/depressed/etc",Curiosity
Is meditation useful?,It can help you to deal with mild mental health issues. You won't know until you try!,Curiosity
Any experience with meditation and its advantages?,It can help you concentrate hard and I feel peaceful when you do it.,Curiosity
"Hi - I know this is quite common in the world but I really struggle dealing with my overthinking mind while dating. Once I go on a date and if it goes really well I tend to stress alot to the point that my stomach is pain. My mind goes straight to does he like me does he hate me. What happens if he's not ready? Am I not right for him. I try to do breathing exercises I try alot of things to just have a break from feeling anxious. Like it can last for weeks. I never use to be like this but I've been ghosted once and it just has done a number on me. This is the first time I dated in a while and it kinda reminds me why I don't do it, but I know I have to stick through it. I don't know if I should take this as a sign that I'm not ready or I am ready and it's my anxiety winning."," I know it's really scary - but if you feel comfortable enough with your partner you should go up to them and let them know about how you get really anxious. They can help you with this then by reassuring you they love you/like you and enjoy spending time with you. I know it's really scary to go up to someone and say that and be vulnerable - but if this person really likes you and is the right person for you, they'll do that little task of smiling at you every so often and telling you how you're important to them",Love
I just broke up with my boyfriend. I am feeling lost.,"Give yourself some love. You need it. ""Treat yourself with love and have patience to ride it out until the next opportunity for love comes around.""",Love
