Question,Answer,Emocia
 I need help with abusive neighbor,"I know it's not a great help but have you ever tried noise cancelling headphones while you try to sleep?
They work great for me",fear
 I need help with abusive neighbor,"I suppose you could try ignoring it. I mean- if someone is trying to get under my skin, last thing I want is to let them know that. I've been in environments where people would go out of their way to try.",faer
 I need help with abusive neighbor,"I understand about not wanting to move- short of that, I don't know, except endure it and hope to outstay him. Try and be the calm one- let him take the role of Unhinged Person, especially in the eye of the law",fear
"

 
Is the MBTi test accurate and reliable?","Just a thought, although we know the tests, whether MBTi or others, it's always good to have a second opinion. Just to have peace of mind or avoid the feeling of being trapped and not being able to do something. It's psychological though.",curiosity
Is the MBTi test accurate and reliable?,"So first off I am not a professional so this isn't going to be any kind of definitive answer.Everyone of us is unique with different backgrounds, experiences and families. So we're not all going to fit nicely into any of the ""types"". Especialy as the questions are pretty generic and can be answered anyway you choose.So whilst I would say it might give you an idea of the type of person you are - shy, introvert etc I'm not sure you should be relying on it as being 100% accurate and reliable. In fact a lot of people view it as a load of nonsense.",curiosity
Why do I want everyone to hate me ?,"Perhaps wanting people to hate you is about power, fear, being a loner, having trust issues, and of course different cultures may also appear this way. Lets face it there are also just those unpleasant characters that are mean or angry because that's just the way they were made. There could be any number of reasons.",grief
I have no idea whats wrong with me.,"No one here is qualified to try and diagnose you. And it would be impossible from the little you actually say in your post to even guess. It is also highly unlikely you're special, sorry but there you go. You're human just like the rest of us. If you're concerned about your mental health you need to go speak to a professional be that a therapist or just your doctor. They're the only ones really that can tell you if the symptoms you're having (or not) are symptoms of a mental illness. If it isn't interfering with your daily life etc then It probably isn't anything to worry about. Even normal people have self doubt, shame, embarassing moments, mistakes etc that they can beat themselves up about. It doesn't mean they're mentally ill.",grief
"
 
I falure to reach my goals.","Change your strategy. Do something else. Try and keep trying until you get the results you desire. By consistently asking these questions along in your journey, you will make sure you are on track and always do the right thing to achieve what you want in life.",grief
"

 
Does miracles happen?","Sometimes, very rarely, impossible things just happen and we call them miracles. And that's the theory.",happy
"
Does miracles happen?","The miracles of Jesus are the supernatural deeds attributed to Jesus in Christian and Islamic texts. The majority are faith healings, exorcisms, resurrection, and control over nature. In the Synoptic Gospels (Mark, Matthew, and Luke), Jesus refuses to give a miraculous sign to prove his authority.",happy
i was abused as a child by a paedophile.I've grown up bitter and angry.,It's wonderful that you now have someone who loves you. What would probably be best is for you to seek out a therapist who has a lot of experience with treating the effects of severe childhood trauma. They can help you navigate the challenges of a relationship and help you learn how to have a healthy connection with someone.,grief
I feel so lost.,"Recognize That It’s Okay!The truth is, there are times you need to be alone. If you’ve always been accustomed to being in contact with people, this may prove difficult.",grief
I feel so lost.,"Use Your Lost and Loneliness as a Self-Directing Guide.Remember, there is more to life than what you’re feeling.",grief
I feel so lost.,"Remember, Things Happen for a Reason",grief
I feel so lost.,Remember You Aren’t the First to Feel This Way,grief
"


 
I can't trust doctors!","The doctors are human and are fallible, and that sometimes the process is a lot of trial and error, which means sometimes people end up on the side of error.",grief
Family and Friends Dislike Wife.,"Talk to your parents, calmly, ask them, what is the fault, don't corner them and bombard them with questions, ask them politely. Reflect upon their answers and think if whatever reasons they gave are valid. Talk to your partner about it and what he/she can do to impress your family",love
"
My girlfriend acting uninterested and cold lately.","Hey mate, just give her some free space. It's better to chill right now and try to think about something other, video games, youtube maybe. With some time everything will be clear. Being hyperactive about this situation can only harm you both. Stay strong, share with you much health and luck!",love
I WANT TO FIND A GIRL!,"First, decide what your dreams are and then just start talking and hangin out with girls and when you find one who has similar dreams with you, she will most likely will be your dream girl.",love
"I suffer with emetophobia, the fear of vomiting."," It’s gotten a bit better as you get older, but you need to try to avoid drinking alcohol due to being sick, or eating food that you know is okay.",fear
How to get my girl attention?, Show that you care.,love
I Spider phobia.,Have you heard of cbt? It is a type of therapy that can be very helpful for phobias. Maybe it is something you may like to try.,fear
I Spider phobia.,"I also find myself drinking a glass of wine incase a spider appears, so that I’m not as afraid.Try it.",fear
Phobia.. of stupid things. Anxiety driven?,A phobia normally is irrational.I suggest gentle exposure therapy.,fear
Anxiety and Depression: Which one do I have?,"David Carbonell, a psychologist who does a lot of work around anxiety has published a useful page on his website which helps one understand the difference between anxiety and depression. Take a read .... you may find it useful.",fear
The Differences Between Anxiety and Depression.,"Anxiety:Apprehension over what's about to happen and what could happen in the future.
Worried thoughts, or a belief that something could go wrong.
Feeling like you need to run away or avoid things that could cause further anxiety.
Depression:Feeling of sadness about the future, as though it's hopeless.
Listlessness, and a lack of belief that positive things will occur.
Little worry, but instead a certainty of future negative emotions. Possible suicidal thoughts.

",fear
Anxiety and Depression often go hand in hand.,"Anxiety and depression are two different disorders that have their own diagnosis, causes, symptoms and prevalence. However, they are not exclusive disorders, since, although depression and anxiety have their own symptoms, they can occur at the same time.",fear
Obsessive-Compulsive Disorder (OCD),Obsessive-compulsive disorder (OCD) is a mental illness that causes repeated unwanted thoughts or sensations (obsessions) or the urge to do something over and over again (compulsions). Some people can have both obsessions and compulsions. OCD isn't about habits like biting your nails or thinking negative thoughts,fear
What good medications are there out there for ocd?,"I think some SSRIs are also said to can help against OCD. Even placebos have some good results. However, I believe it´s depends on the person and one has to try whats best. If you feel better just stay on it I guess. If you unsure just talk to your doc who prescribed you the medication.",curiosity
I have Obsessive-Compulsive Disorder.,I am so sorry to hear what you've been through! I think OCD is very similar for some people but i guess never quite the same? First of all i hope you are out of Danger now from bad things and Sexual Assault.That's Awful but you are obviously a very Strong Person.Stay as positive as you can.,fear
Does being in the zone can help me?,"Roy Palmer suggests that ""being in the zone"" may also influence movement patterns as better integration of the conscious and subconscious reflex functions improves coordination. Many athletes describe the effortless nature of their performance while achieving personal bests.",curiosity
Is being in the zone a real thing?,"For NBA players in the midst of a scorching streak or red-hot single-game performance, being in ""the zone"" is a very real thing. And it's been impossible to ignore Durant's nearly month-long string of games with at least 30 points. …",curiosity
Any tips or tricks about weight loss including diet and exercise?,"Here are 9 more tips to lose weight faster:
Eat a high protein breakfast. ...
Avoid sugary drinks and fruit juice. ...
Drink water before meals. ...
Choose weight-loss-friendly foods. ...
Eat soluble fiber. ...
Drink coffee or tea. ...
Base your diet on whole foods. ...
Eat slowly.",curiosity
Is your mental health worse in the morning?,Researchers have studied the cortisol awakening response (CAR) and have found that cortisol is highest in the first hour of waking for people with an increased level of stress in their lives. This helps explain why you may experience an increase in anxiety in the morning,curiosity
Does CBD help anxiety?,"CBD is commonly used to address anxiety, and for patients who suffer through the misery of insomnia, studies suggest that CBD may help with both falling asleep and staying asleep. CBD may offer an option for treating different types of chronic pain.",curiosity
Is Depression Worse In The Morning?,"Unfortunately, yes, the morning may be a particularly tough time for someone who has depression. If you didn’t sleep well the night before, it can make your already debilitating symptoms worse. When someone struggles with this disorder, waking up and facing a full day of decision-making can be overwhelming.",curiosity
How To Cope With Morning Depression?,"You must speak with an expert or medical professional who can help determine the best course of action. It may be something as simple as having something to look forward to, writing down your morning routine, and eating healthy that gets you through your day. ",curiosity
I'm never satisfied with who I am because of my tragic life.,"You can t change the past, so there is no need to keep concentrate on wasted years. Think about the present and future.",curiosity
Can you genuinely have more than one fear?,I don't see why not. There's an endless list of fears humans suffer from.,curiosity
Can We Ever Be Truly Fearless?,"Maybe it’s always the greater fear that motivates us to conquer the lesser fear. Maybe we do the scary thing, because the alternative is even scarier.",curiosity
How to be happy?,Spend More Time With Friends/Family: Money Can't Buy You Happiness. .,happy
How to be happy?,"I love the way Harvard happiness expert Daniel Gilbert explains it:
We are happy when we have family, we are happy when we have friends and almost all the other things we think make us happy are actually just ways of getting more family and friends.",happy
How to be happy?,Help Others: 100 Hours a Year is the Magic Number,happy
How to be happy?, Plan a Trip: It Helps Even if You Don't Actually Take One,happy
How to be happy?,Meditate: Rewire Your Brain for Happiness,happy
How to be happy?,Quick Final Fact: Getting Older Will Actually Make You Happier,happy
What fears more success or failure?,"It has been hypothesized that those who have a strong desire for success may actually be suffering from a fear of failure. This hypothesis makes a lot of logical sense, as achieving success is by definition the opposite of failure. Several researchers have tested this hypothesis with mixed results.",curiosity
How do you overcome fear of failure at work?,Set approach goals (not avoidance goals). ,fear
How do you overcome fear of failure at work?,"Create a “fear list.” Author and investor Tim Ferriss recommends “fear-setting,” creating a checklist of what you are afraid to do and what you fear will happen if you do it.",fear
How do you overcome fear of failure?,Realize you are panicking. Many people get overwhelmed with emotions without realizing what should be done in one or another situation. ..,fear
